,FIPS,State,Area_Name,Year,Population,Births,Deaths,InternationalMig,DomesticMig,CivilianLaborForce,UnemploymentRate
135,50000,VT,Vermont,2019,525614,5603.96428571429,5835.285714285725,1901.3928571428405,-1083.107142857145,341122.53571428545,2.117857142857133
136,50000,VT,Vermont,2020,518421,5534.92857142858,5878.321428571435,2088.869047619053,-1048.8809523809468,339369.1547619044,1.7190476190476147
137,50000,VT,Vermont,2021,511227,5465.89285714287,5921.357142857145,2276.3452380952076,-1014.6547619047633,337615.7738095238,1.3202380952380963
138,51000,VA,Virginia,2019,8621792,100908.67857142864,69757.57142857136,36247.285714285914,-26462.571428570896,4319069.5,2.574999999999818
139,51000,VA,Virginia,2020,8653754,100625.35714285716,70985.5595238097,37135.738095238106,-30447.142857142724,4334032.75,2.066666666666606
140,51000,VA,Virginia,2021,8685717,100342.03571428568,72213.54761904757,38024.19047619053,-34431.71428571455,4348996.0,1.5583333333331666
141,53000,WA,Washington,2019,7561092,91442.25,58358.42857142864,35132.14285714319,69296.96428571455,3797037.321428567,3.3142857142859157
142,53000,WA,Washington,2020,7652162,92103.25,59547.4404761903,36953.535714285914,76552.5119047612,3846539.809523806,2.6452380952382555
143,53000,WA,Washington,2021,7743231,92764.25,60736.452380952425,38774.92857142864,83808.0595238097,3896042.297619045,1.9761904761905953
144,54000,WV,West Virginia,2019,1620579,18077.678571428638,22856.07142857142,300.75,-11846.678571428638,771906.8928571437,4.764285714285734
145,54000,WV,West Virginia,2020,1604149,17686.60714285716,22997.976190476213,161.75,-13470.440476190299,767607.4523809534,4.370238095238051
146,54000,WV,West Virginia,2021,1587719,17295.53571428568,23139.880952380947,22.75,-15094.202380952425,763308.011904763,3.9761904761904816
147,55000,WI,Wisconsin,2019,5980489,65144.64285714284,51616.03571428568,9185.0,-4541.357142857276,3146555.821428571,1.9571428571427987
148,55000,WI,Wisconsin,2020,5983843,64788.28571428568,51996.904761904734,9620.75,-3683.0476190478075,3156740.892857142,1.2309523809522034
149,55000,WI,Wisconsin,2021,5987198,64431.92857142852,52377.77380952379,10056.5,-2824.7380952381063,3166925.9642857127,0.5047619047618355
150,56000,WY,Wyoming,2019,502445,7139.6071428571595,4944.3928571428405,760.3571428571595,-7640.428571428638,290450.6785714291,3.900000000000034
151,56000,WY,Wyoming,2020,497716,7073.380952380976,5010.28571428571,849.3809523809759,-8997.190476190299,287931.6071428573,3.716666666666697
152,56000,WY,Wyoming,2021,492987,7007.154761904763,5076.17857142858,938.4047619047633,-10353.952380952425,285412.53571428545,3.53333333333336
